id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
814140499041386815,Empire House by RoveTravel | 3BR TH with Courtyard,Brooklyn,Williamsburg,40.71798086423485,-73.95187240100303,Entire home/apt,507,30,30,599.0,POINT (-73.95187240100303 40.71798086423485)
821019725341194896,323-2 Specious 2BR Williamsburg,Brooklyn,Williamsburg,40.71283,-73.94528,Entire home/apt,194,30,30,210.0,POINT (-73.94528 40.71283)
821020138220358249,323-1 Specious 2BR Williamsburg,Brooklyn,Williamsburg,40.71494663601905,-73.94487380913449,Entire home/apt,209,30,30,176.0,POINT (-73.94487380913449 40.71494663601905)
821107792105703176,Spacious Williamsburg 1 Bed,Brooklyn,Williamsburg,40.707262899257294,-73.95314127505016,Entire home/apt,170,3,30,,POINT (-73.95314127505016 40.707262899257294)
820361475735199804,Spacious & Cozy Williamsburg Apt,Brooklyn,Williamsburg,40.71256919576887,-73.96457335655461,Entire home/apt,159,30,30,159.0,POINT (-73.96457335655461 40.71256919576887)
820498236955797984,Apartment in Williamsburg,Brooklyn,Williamsburg,40.71509094220148,-73.96380214301631,Entire home/apt,145,4,30,98.0,POINT (-73.96380214301631 40.71509094220148)
826090426619216861,Duplex in East Williamsburg,Brooklyn,Williamsburg,40.71636,-73.94644,Entire home/apt,199,2,30,,POINT (-73.94644 40.71636)
823268495658074188,Quiet Apt in PRIME Williamsburg,Brooklyn,Williamsburg,40.71716404724446,-73.95237722675519,Entire home/apt,240,4,30,275.0,POINT (-73.95237722675519 40.71716404724446)
823768357799813386,Gorgeous penthouse in New York,Brooklyn,Williamsburg,40.7212202,-73.9564559,Entire home/apt,360,2,30,,POINT (-73.9564559 40.7212202)
829050984090492960,The Boho Coze Studio,Brooklyn,Williamsburg,40.71461673223691,-73.94875590376755,Private room,155,1,30,,POINT (-73.94875590376755 40.71461673223691)
831315209017124521,City views in prime Williamsburg,Brooklyn,Greenpoint,40.72039396396713,-73.95470090688477,Entire home/apt,320,4,30,313.0,POINT (-73.95470090688477 40.72039396396713)
833387789507424733,Lux Apartment in Williamsburg with Balconies!,Brooklyn,Williamsburg,40.7174883,-73.96351179999999,Private room,500,30,30,500.0,POINT (-73.96351179999999 40.7174883)
832717533980669391,Cozy and Spacious Apartment,Brooklyn,Williamsburg,40.7160231,-73.9450098,Entire home/apt,86,28,30,,POINT (-73.9450098 40.7160231)
832052519939879712,Convenient 2bd in E Williamsburg,Brooklyn,Williamsburg,40.71656913346149,-73.94170158255237,Entire home/apt,128,30,30,160.0,POINT (-73.94170158255237 40.71656913346149)
836881273311482358,Slice of Heaven In Williamsburg,Brooklyn,Williamsburg,40.71867990681758,-73.96426035678861,Private room,300,1,30,300.0,POINT (-73.96426035678861 40.71867990681758)
