id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
47924038,138 Bowery-Modern King Studio,Manhattan,Lower East Side,40.72023,-73.99401,Private room,135,15,15,185.0,POINT (-73.99401 40.72023)
48105141,2 double beds with private bathroom LES NYC,Manhattan,Chinatown,40.71351,-73.99706,Private room,155,1,30,188.0,POINT (-73.99706 40.71351)
47996191,138 Bowery-Furnished Studio,Manhattan,Lower East Side,40.72025,-73.9938,Entire home/apt,115,30,30,125.0,POINT (-73.9938 40.72025)
48282693,138 Bowery-Studio in Little Italy,Manhattan,Chinatown,40.71797,-73.99412,Entire home/apt,110,30,30,110.0,POINT (-73.99412 40.71797)
48627687,138 Bowery-Bright Studio,Manhattan,Lower East Side,40.71829,-73.99372,Entire home/apt,120,30,30,170.0,POINT (-73.99372 40.71829)
48403914,Beautiful 2 bed 2 bath apartment,Manhattan,Chinatown,40.71644,-73.99072,Entire home/apt,375,4,30,170.0,POINT (-73.99072 40.71644)
48423570,Entire Spacious 1-BR Apt in Prime Lower East Side,Manhattan,Lower East Side,40.71944,-73.99119,Entire home/apt,210,30,30,210.0,POINT (-73.99119 40.71944)
48677043,Large Bedroom in our Massive Prime LES apartment,Manhattan,Chinatown,40.71652,-73.99058,Private room,85,7,30,100.0,POINT (-73.99058 40.71652)
48941264,Queen Bed With Private Bath LES NYC,Manhattan,Chinatown,40.71384,-73.99488,Private room,135,30,30,158.0,POINT (-73.99488 40.71384)
48942328,Private Full Bed in Chinatown NYC,Manhattan,Chinatown,40.71341,-73.99705,Private room,86,30,30,92.0,POINT (-73.99705 40.71341)
48942774,Queen Bed With Private Bath Chinatown NYC,Manhattan,Chinatown,40.71375,-73.99521,Private room,135,1,30,158.0,POINT (-73.99521 40.71375)
49651889,One-of-a-kind Historic Carriage House w/ Rooftop,Manhattan,Lower East Side,40.72095,-73.99047,Entire home/apt,2899,1,1,2643.0,POINT (-73.99047 40.72095)
49690753,Entire cozy 1 bedroom apartment,Manhattan,Chinatown,40.71643,-73.98967,Entire home/apt,203,4,30,120.0,POINT (-73.98967 40.71643)
49690858,Cozy 2-bedroom Apartment,Manhattan,Chinatown,40.71645,-73.99061,Entire home/apt,221,5,30,135.0,POINT (-73.99061 40.71645)
49946463,Terracotta Room in LES,Manhattan,Lower East Side,40.71971,-73.99284,Private room,98,1,3,96.0,POINT (-73.99284 40.71971)
50217756,Sunny Room in Prime LES Location,Manhattan,Chinatown,40.71656,-73.99046,Private room,90,5,5,150.0,POINT (-73.99046 40.71656)
50351396,Quiet sunny one bedroom in Lower East Side,Manhattan,Lower East Side,40.72034,-73.99099,Entire home/apt,173,4,5,207.0,POINT (-73.99099 40.72034)
50826322,Comfy and cozy  - by the Park and subway,Manhattan,Lower East Side,40.72093,-73.99094,Entire home/apt,180,30,30,157.0,POINT (-73.99094 40.72093)
50942802,Great Apartment on Park in NYC's Best Neighborhood,Manhattan,Lower East Side,40.7184,-73.99395,Entire home/apt,175,30,30,,POINT (-73.99395 40.7184)
50954129,1000 Sq ft FUNISHED LOFT MINIMAL CHIC 18 Windows,Manhattan,Lower East Side,40.71443,-73.98961,Entire home/apt,200,30,30,229.0,POINT (-73.98961 40.71443)
50873910,Untitled at 3 Freeman - Sky King,Manhattan,Lower East Side,40.7227,-73.99305,Entire home/apt,211,1,1,226.0,POINT (-73.99305 40.7227)
51143643,Lovely 1-bedroom flat in Lower East Side/Manhattan,Manhattan,Chinatown,40.71575,-73.99065,Entire home/apt,214,2,30,,POINT (-73.99065 40.71575)
51262978,✪ Large 2 Bedrooms  ✪ Queen Beds  ✪ Work Stations,Manhattan,Chinatown,40.71704,-73.99528,Entire home/apt,175,28,30,205.0,POINT (-73.99528 40.71704)
51411254,Untitled at 3 Freeman - Untitled Queen,Manhattan,Lower East Side,40.72112,-73.99289,Entire home/apt,134,1,1,176.0,POINT (-73.99289 40.72112)
51535368,Cozy Lower East Side 1br w/ patio. GREAT LOCATION!,Manhattan,Lower East Side,40.71929,-73.98618,Entire home/apt,128,1,1,178.0,POINT (-73.98618 40.71929)
51752865,"Penthouse in “dimes square”, 2 balconies!",Manhattan,Chinatown,40.71413803100586,-73.99101257324219,Entire home/apt,182,2,30,,POINT (-73.99101257324219 40.71413803100586)
51907134,Luxury Family Suite with Patio,Manhattan,Lower East Side,40.71964,-73.99067,Entire home/apt,397,1,1,774.0,POINT (-73.99067 40.71964)
51907175,Deluxe Double Queen +Balcony in downtown Manhattan,Manhattan,Lower East Side,40.7186077,-73.9897804,Entire home/apt,270,1,1,426.0,POINT (-73.9897804 40.7186077)
51907246,Deluxe King  in the heart of downtown Manhattan,Manhattan,Lower East Side,40.7186077,-73.9897804,Entire home/apt,198,1,1,339.0,POINT (-73.9897804 40.7186077)
